cohort	sample	unit	spots	dc_enriched_spots	primary_mregDC_Tfh_local_r	mregDC_Tfh_after_nonoverlap_broad_T_adjustment_r	mregDC_no_CCL19_Tfh_local_r	mregDC_broad_T_nonoverlap_competitive_r	mregDC_non_Tfh_CD4_nonoverlap_competitive_r	mregDC_Treg_nonoverlap_competitive_r	mregDC_exhausted_CD8_nonoverlap_competitive_r	mregDC_cDC_nonoverlap_competitive_r	mregDC_macrophage_nonoverlap_competitive_r	joint_model_Tfh_standardized_beta	graph_null_p	graph_null_median_r	outcome_moran	surrogate_moran_median	surrogate_moran_abs_delta_median	block_null_eligible
GSE278687	GSM8552940_PA01	PA01	4351	2456	0.5371701860408028	0.4008898950357239	0.2291578338596166	0.5894889941471458	0.5230373321700941	0.3931595750985549	0.23278982838202106	0.14717720517528118	-0.24888122200743232	0.23065921255328675	0.005	-0.0006537647084009041	0.14988517702776166	0.1498836009553744	2.2676904146340382e-05	1
GSE278687	GSM8552941_PA02	PA02	1389	816	0.13829926130039497	0.14089629781099333	0.139513548540764	0.018880044540270105	0.10643703912994032	0.1179443135075085	0.08565652878816513	-0.03120138660640808	0.0745838657630267	0.0972205848945559	0.05	0.0024852657734418704	0.15398092251397358	0.15397922688743906	2.210702130014952e-05	1
GSE278687	GSM8552942_PA03	PA03	4579	2335	-0.018329552175999346	-0.020041149569254176	-0.02069107035195868	0.06829873969309724	0.039433517064171406	0.00018079483214552828	0.03865760706351064	nan	-0.12472674666325781	-0.016261842900593126	0.575	-0.00018905559553165373	0.0033110967963121893	0.0034634881749599474	0.00046101181080019727	1
GSE278687	GSM8552943_PA04-1	PA04	2276	1241	0.0763162191484672	0.07831935810573014	0.07595982574344272	0.0024019272684517447	0.1266983299892213	0.04972417645596159	0.12448873709372975	0.08042822969260464	0.13250895176048483	0.023132126784865967	0.135	0.009396782531941348	0.08223033660190059	0.08223149069781222	1.56890124404091e-05	1
GSE278687	GSM8552944_PA04-2	PA04	3088	1512	0.12445183441613739	0.10621199107018782	0.06982705848837316	0.24817665972378256	-0.010524404622187566	0.1324229903674862	-0.047507641825277176	-0.12467547944019966	-0.05965036741591585	0.09614821276770898	0.01	0.003085207328967228	0.046350803697774	0.046354816496532045	1.2930040789033148e-05	1
GSE278687	GSM8552945_PA05-1	PA05	2247	1411	0.45532739090953517	0.37240637312729896	0.13813616716127283	0.42418223259087445	0.4271603979468047	0.1981023973726604	0.19982750476677316	0.19463058248438883	-0.3061532546652306	0.2410096444815829	0.005	0.014784340607041773	0.19849532838238826	0.19849800723161842	2.5758302669598443e-05	1
GSE278687	GSM8552946_PA05-2	PA05	4992	2798	0.4842584250854418	0.4253599831407933	0.307890862403952	0.3482336346968747	0.5047752143503043	0.22044964898062835	0.12010208953446246	0.09669755947396018	-0.229230475531047	0.41629675458298426	0.005	-0.004899271140420182	0.26533125200666713	0.26532296313173703	3.306290459115235e-05	1
GSE278687	GSM8552947_PA06	PA06	2580	1398	0.35717097092452865	0.10886598965525807	0.44643860014916387	0.5109913002615634	0.5140657793455791	0.3206738519499111	0.2043386496093107	0.14187542782061316	-0.24107666378163775	0.034582861868406894	0.005	0.005484968294121179	0.22819852272828162	0.22819741565617221	3.065353921383185e-05	1
GSE278687	GSM8552948_PA08	PA08	2677	1440	0.008309910373205854	0.0020166740720525722	-0.009820556834505459	0.048838920161907745	-0.03708902863215602	0.03726424568092457	0.008660488692759549	0.009883551816863645	-0.1733478174338765	0.029313909892288888	0.85	-0.004232911360528496	0.03790532335599826	0.037904513878121555	1.0664178578867478e-05	1
GSE278687	GSM8552949_PA11-1	PA11	1824	912	0.17484882573242766	0.15848342435084314	0.15142790803846587	0.15622598933647772	0.11909592832313345	0.001317542205365027	0.18209108161418908	-0.053956205017487546	-0.010948755410382966	0.12056403943486889	0.015	0.002522326841984166	0.0769773022046016	0.076981298074336	1.385200196157843e-05	1
GSE278687	GSM8552950_PA11-2	PA11	4990	2666	0.5301814347958812	0.303413499612441	0.444929766182284	0.6182884860219153	0.5280486295901937	0.4135970612785259	0.2529321549312535	0.06844389511130572	-0.10460666047241261	0.24177397513344867	0.005	0.0017620425829517569	0.3364938908312319	0.336494949655068	1.3544548873534179e-05	1
GSE278687	GSM8552951_PA12	PA12	4855	2630	0.6530977753464938	0.5028401935112559	0.5068197164488035	0.6540983350349345	0.6438533198100107	0.4717385153379737	0.33585762467217106	0.27612931555067444	-0.16481688839760736	0.27450504569038037	0.005	-0.00023644899115384517	0.25069446702872294	0.250696837026358	3.1433874507880155e-05	1
